2018/09/22 23:39:06.133 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2742; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.139 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2738; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.176 DEBUG 74 Comm - Tx: Type=Petex.IVM.Messages.PollGroupWatchUpdateMessage; Recipient=(56); Length=95; CompressedTo=95
2018/09/22 23:39:06.258 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2744; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.288 DEBUG 96 Comm - Rx: Type=Petex.IVM.Messages.GetDataSetInfosByObjectTypePropertyObjectInstanceDataSourceMessage ; Sender=2741; Length=103; ExpandedTo=103 
2018/09/22 23:39:06.295 DEBUG 135 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2742); Length=116; CompressedTo=70
2018/09/22 23:39:06.295 DEBUG 109 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2738); Length=111; CompressedTo=71
2018/09/22 23:39:06.296 DEBUG 65 Comm - Rx: Type=Petex.IVM.Messages.HereIsVisualWorkflowHistoryDetailsMessage ; Sender=2742; Length=785; ExpandedTo=4648 
2018/09/22 23:39:06.296 DEBUG 122 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2744); Length=116; CompressedTo=72
2018/09/22 23:39:06.296 DEBUG 134 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2742; Length=178; ExpandedTo=178 
2018/09/22 23:39:06.297 DEBUG 96 Comm - Rx: Type=Petex.IVM.Messages.Historical.ReadHistoricalRequestMessage ; Sender=2738; Length=173; ExpandedTo=173 
2018/09/22 23:39:06.297 DEBUG 70 Comm - Tx: Type=Petex.IVM.Messages.HereIsDataSetDescriptionsMessage; Recipient=(2741); Length=111; CompressedTo=70
